City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Sambava,MG,-14.2667,50.1667,75.92,86,9,7.81,light rain
114,Waddan,LY,29.1614,16.139,67.96,37,54,5.01,broken clouds
115,Labuhan,ID,-6.8844,112.2051,79.48,80,100,1.43,light rain
116,Dossor,KZ,47.5272,52.9811,22.51,57,0,14.52,clear sky
117,Iqaluit,CA,63.7506,-68.5145,-0.67,71,75,0.0,broken clouds
118,Mar Del Plata,AR,-38.0023,-57.5575,76.08,95,75,10.0,broken clouds
119,Porto Walter,BR,-8.2686,-72.7439,88.12,53,96,4.52,overcast clouds
120,Paramonga,PE,-10.6667,-77.8333,72.25,74,88,8.14,overcast clouds
121,Nyurba,RU,63.2842,118.3319,-54.36,100,69,4.38,broken clouds
122,Mount Gambier,AU,-37.8333,140.7667,48.85,93,49,7.31,light rain
123,Kokopo,PG,-4.352,152.2633,77.63,84,94,3.0,light rain
124,Barrow,US,71.2906,-156.7887,4.6,85,94,21.54,overcast clouds
125,Santa Cruz De La Palma,ES,28.6835,-17.7642,76.14,83,0,5.75,clear sky
126,Thompson,CA,55.7435,-97.8558,23.16,93,100,3.44,mist
127,Rawson,AR,-43.3002,-65.1023,66.16,43,38,24.4,scattered clouds
128,Tasiilaq,GL,65.6145,-37.6368,16.39,57,3,5.91,clear sky
129,Santa Catalina,PH,9.3337,122.8637,76.42,90,73,2.59,broken clouds
130,Khatanga,RU,71.9667,102.5,-2.58,95,100,16.62,overcast clouds
131,Muzhi,RU,65.3667,64.6667,-19.12,100,65,4.05,broken clouds
132,Marana,US,32.4367,-111.2254,71.15,42,0,6.96,clear sky
133,Tchollire,CM,8.4022,14.1698,79.36,18,0,2.15,clear sky
134,Zhigansk,RU,66.7697,123.3711,-26.75,97,100,8.21,overcast clouds
135,Damavand,IR,35.7178,52.065,26.98,84,48,2.44,scattered clouds
136,Giresun,TR,40.5,38.5,30.06,68,100,9.66,overcast clouds
137,Vardo,NO,70.3705,31.1107,24.78,86,100,11.5,overcast clouds
138,Bengkulu,ID,-3.8004,102.2655,75.83,83,100,8.52,overcast clouds
139,Chokurdakh,RU,70.6333,147.9167,-13.74,96,100,9.13,overcast clouds
140,Bethel,US,41.3712,-73.414,36.48,84,100,9.22,light snow
141,Hambantota,LK,6.1241,81.1185,75.65,87,69,11.21,broken clouds
142,Samarai,PG,-10.6167,150.6667,82.58,79,68,6.96,broken clouds
143,Inverness,GB,57.4791,-4.224,30.11,90,20,6.91,few clouds
144,Bereda,ES,43.2686,-7.5406,46.15,100,99,0.96,overcast clouds
145,Guerrero Negro,MX,27.9769,-114.0611,64.9,59,78,12.71,broken clouds
146,Kaitangata,NZ,-46.2817,169.8464,52.72,94,64,2.26,broken clouds
147,Yerbogachen,RU,61.2767,108.0108,-46.35,100,57,2.44,broken clouds
148,Grand Junction,US,39.0639,-108.5507,50.22,45,35,3.0,scattered clouds
149,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,2.7,97,100,2.86,light snow
150,Salumbar,IN,24.1333,74.05,64.6,36,26,6.29,scattered clouds
151,Dubbo,AU,-32.25,148.6167,73.53,53,100,19.57,light rain
152,Tiksi,RU,71.6872,128.8694,-22.18,98,100,10.47,overcast clouds
153,Leningradskiy,RU,69.3833,178.4167,0.63,97,100,14.47,light snow
154,Basco,PH,20.4487,121.9702,76.96,80,100,31.0,overcast clouds
155,Hovd,MN,48.0056,91.6419,2.82,64,100,4.38,overcast clouds
156,Victoria,HK,22.2855,114.1577,63.25,78,95,3.0,overcast clouds
157,Lakhdenpokhya,RU,61.5198,30.1992,16.18,92,100,11.14,overcast clouds
158,Mayo,US,38.8876,-76.5119,46.4,88,100,1.01,overcast clouds
159,Katsuura,JP,35.1333,140.3,49.6,66,100,20.6,light rain
160,Punta Alta,AR,-38.8759,-62.0736,83.17,26,0,26.46,clear sky
161,Sobolevo,RU,54.4299,31.8996,38.25,100,100,16.15,moderate rain
162,Norman Wells,CA,65.282,-126.8329,-25.56,68,20,4.61,few clouds
163,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,90.82,44,67,1.92,broken clouds
164,Lorengau,PG,-2.0226,147.2712,81.01,77,57,5.06,broken clouds
165,Half Moon Bay,US,37.4636,-122.4286,50.79,86,20,11.5,haze
166,Guaratinga,BR,-16.5667,-39.5667,86.85,60,86,6.98,overcast clouds
167,Carnarvon,AU,-24.8667,113.6333,70.65,75,0,22.5,clear sky
168,Zhifang,CN,30.35,114.3167,35.58,51,12,7.31,few clouds
169,Clifton,US,40.8584,-74.1638,40.75,86,100,9.22,overcast clouds
170,Kamenka,RU,51.3223,42.7678,32.94,89,88,19.55,overcast clouds
171,Varadero,CU,23.1536,-81.2514,78.21,60,3,8.99,clear sky
172,Imbituba,BR,-28.24,-48.6703,79.16,75,68,11.74,broken clouds
173,Araguacu,BR,-12.9306,-49.8264,89.92,46,64,1.19,broken clouds
174,Bredasdorp,ZA,-34.5322,20.0403,69.19,94,95,15.93,overcast clouds
175,Cabo San Lucas,MX,22.8909,-109.9124,80.06,59,22,3.0,few clouds
176,Bontang,ID,0.1333,117.5,79.43,83,81,4.18,broken clouds
177,Paamiut,GL,61.994,-49.6678,19.4,65,0,8.25,clear sky
178,Ancud,CL,-41.8697,-73.8203,58.71,63,13,11.45,few clouds
179,Talnakh,RU,69.4865,88.3972,-24.7,100,100,8.86,overcast clouds
180,Villa Maria,AR,-32.4075,-63.2402,100.47,26,2,12.3,clear sky
181,Coshocton,US,40.272,-81.8596,44.73,83,72,3.0,broken clouds
182,Ylojarvi,FI,61.5563,23.5961,22.95,97,100,4.61,overcast clouds
183,Conceicao Do Araguaia,BR,-8.2578,-49.2647,91.09,49,78,3.8,broken clouds
184,Rojhan,PK,28.6868,69.9534,66.09,32,1,6.78,clear sky
185,Sechura,PE,-5.5569,-80.8222,79.65,57,80,11.7,broken clouds
186,Sananduva,BR,-27.9497,-51.8067,90.25,30,30,4.72,scattered clouds
187,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,82,40,29.06,scattered clouds
188,Arman,RU,59.7,150.1667,-18.54,91,95,7.45,overcast clouds
189,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.08,70,25,10.38,scattered clouds
190,Taman,RU,45.2117,36.7161,54.1,83,100,20.76,overcast clouds
191,Xichang,CN,27.8964,102.2634,43.59,77,0,3.78,clear sky
192,Eureka,US,40.8021,-124.1637,44.2,97,58,3.0,broken clouds
193,Camacupa,AO,-12.0167,17.4833,63.34,94,94,3.44,moderate rain
194,Torbay,CA,47.6666,-52.7314,32.76,94,100,13.8,light snow
195,Timra,SE,62.487,17.3257,17.28,100,100,2.3,light snow
196,Lang Suan,TH,9.9456,99.0785,76.42,87,87,1.86,overcast clouds
197,Hervey Bay,AU,-25.2986,152.8535,73.49,79,15,4.7,few clouds
198,Rognan,NO,67.0953,15.3878,24.89,83,17,9.13,few clouds
199,Tucupita,VE,9.0622,-62.051,80.89,79,76,5.77,broken clouds
200,Brae,GB,60.3964,-1.353,38.41,80,100,15.14,light rain
201,Filadelfia,US,39.9523,-75.1638,43.05,90,100,6.91,light rain
202,Cairns,AU,-16.9167,145.7667,76.95,90,56,8.05,broken clouds
203,Salinopolis,BR,-0.6136,-47.3561,83.75,68,47,12.73,scattered clouds
204,Longyearbyen,SJ,78.2186,15.6401,22.84,74,75,25.32,light snow
205,Urumqi,CN,43.801,87.6005,-1.25,92,2,4.47,mist
206,Pisco,PE,-13.7,-76.2167,70.02,83,20,10.36,few clouds
207,Kurumkan,RU,54.3,110.3,-2.79,85,85,7.54,overcast clouds
208,Ajaigarh,IN,24.9,80.2667,62.35,42,5,1.81,clear sky
209,Cap-Aux-Meules,CA,47.3821,-61.8597,23.05,68,75,12.66,broken clouds
210,Pevek,RU,69.7008,170.3133,-10.19,98,100,18.97,light snow
211,Peniche,PT,39.3558,-9.3811,64.29,96,90,8.39,overcast clouds
212,Mount Isa,AU,-20.7333,139.5,71.37,33,0,1.14,clear sky
213,Khao Yoi,TH,13.2403,99.8243,73.9,73,90,2.42,overcast clouds
214,Bukama,CD,-9.2,25.85,72.88,81,82,1.86,light rain
215,Castro,BR,-24.7911,-50.0119,77.77,72,78,8.5,broken clouds
216,Launceston,AU,-41.45,147.1667,56.61,96,40,2.3,scattered clouds
217,Mozarlandia,BR,-14.7447,-50.5706,88.12,53,71,3.29,broken clouds
218,Rehoboth,NA,-23.3167,17.0833,74.5,14,0,16.93,clear sky
219,Wloclawek,PL,52.6482,19.0678,26.53,71,100,10.07,overcast clouds
220,Kirakira,SB,-10.4544,161.9205,78.93,81,100,4.74,overcast clouds
221,Bucerias,MX,20.75,-105.3333,80.98,60,6,3.78,clear sky
222,Vanimo,PG,-2.6741,141.3028,77.47,89,100,5.08,overcast clouds
223,Lerwick,GB,60.1545,-1.1494,37.4,73,100,16.49,light rain
224,Bubaque,GW,11.2833,-15.8333,81.52,73,16,14.0,few clouds
225,Bilibino,RU,68.0546,166.4372,-20.11,99,100,4.38,light snow
226,Scarborough,GB,54.2797,-0.4044,30.65,88,12,1.99,few clouds
227,Aden,YE,12.7794,45.0367,78.8,65,13,13.58,few clouds
228,Pangai,TO,-19.8,-174.35,78.91,83,40,10.36,light rain
229,Mahibadhoo,MV,3.7833,72.9667,81.61,80,83,18.12,broken clouds
230,Teya,RU,60.3778,92.6267,-33.36,100,29,2.62,scattered clouds
231,Ahipara,NZ,-35.1667,173.1667,60.35,89,84,5.61,broken clouds
232,Kholm,RU,59.2667,32.85,16.7,90,100,9.37,overcast clouds
233,Minab,IR,27.1467,57.0801,64.72,55,0,0.0,clear sky
234,Honiara,SB,-9.4333,159.95,76.28,84,97,4.09,overcast clouds
235,Ukiah,US,39.1502,-123.2078,46.36,92,75,0.0,broken clouds
236,Lagoa,PT,39.05,-27.9833,63.0,83,2,34.16,clear sky
237,Bonavista,CA,48.6499,-53.1147,29.48,80,99,22.77,overcast clouds
238,Moose Factory,CA,51.2585,-80.6094,4.98,72,0,6.91,clear sky
239,Namatanai,PG,-3.6667,152.4333,78.64,82,96,5.03,light rain
